Signature Algorithm,Test Round,Rate Limit,Delay,Packet Loss,Success,Handshake Duration [ms]
sphincssha2256fsimple,4,10000.0,0,3,1,55.098513
sphincssha2256fsimple,5,10000.0,0,3,1,54.787061
sphincssha2256fsimple,6,10000.0,0,3,1,56.961889
sphincssha2256fsimple,7,10000.0,0,3,1,55.763037
sphincssha2256fsimple,8,10000.0,0,3,1,54.717184
sphincssha2256fsimple,9,10000.0,0,3,1,54.687009
sphincssha2256fsimple,10,10000.0,0,3,1,58.066685
sphincssha2256fsimple,11,10000.0,0,3,1,54.790807
sphincssha2256fsimple,12,10000.0,0,3,1,56.193317
sphincssha2256fsimple,13,10000.0,0,3,1,57.345993
sphincssha2256fsimple,14,10000.0,0,3,1,54.515255
sphincssha2256fsimple,15,10000.0,0,3,1,54.655090
sphincssha2256fsimple,16,10000.0,0,3,1,55.366928
sphincssha2256fsimple,17,10000.0,0,3,1,54.516188
sphincssha2256fsimple,18,10000.0,0,3,1,54.476892
sphincssha2256fsimple,19,10000.0,0,3,1,54.778586
sphincssha2256fsimple,20,10000.0,0,3,1,55.728213
sphincssha2256fsimple,21,10000.0,0,3,1,55.047271
sphincssha2256fsimple,22,10000.0,0,3,1,94.121128
sphincssha2256fsimple,23,10000.0,0,3,1,54.885910
sphincssha2256fsimple,24,10000.0,0,3,1,61.031896
sphincssha2256fsimple,25,10000.0,0,3,1,56.463794
sphincssha2256fsimple,26,10000.0,0,3,1,56.693927
sphincssha2256fsimple,27,10000.0,0,3,1,56.549662
sphincssha2256fsimple,28,10000.0,0,3,1,60.139659
sphincssha2256fsimple,29,10000.0,0,3,1,56.193385
sphincssha2256fsimple,30,10000.0,0,3,1,55.061127
sphincssha2256fsimple,31,10000.0,0,3,1,2929.241506
sphincssha2256fsimple,32,10000.0,0,3,1,55.244162
sphincssha2256fsimple,33,10000.0,0,3,1,55.566188
sphincssha2256fsimple,34,10000.0,0,3,1,54.658396
sphincssha2256fsimple,35,10000.0,0,3,1,57.487684
sphincssha2256fsimple,36,10000.0,0,3,1,55.262204
sphincssha2256fsimple,37,10000.0,0,3,1,59.444744
sphincssha2256fsimple,38,10000.0,0,3,1,57.329246
sphincssha2256fsimple,39,10000.0,0,3,1,54.582087
sphincssha2256fsimple,40,10000.0,0,3,1,54.771563
sphincssha2256fsimple,41,10000.0,0,3,1,54.672602
sphincssha2256fsimple,42,10000.0,0,3,1,55.107774
sphincssha2256fsimple,43,10000.0,0,3,1,54.627411
sphincssha2256fsimple,44,10000.0,0,3,1,56.191741
sphincssha2256fsimple,45,10000.0,0,3,1,57.440752
sphincssha2256fsimple,46,10000.0,0,3,1,55.279369
sphincssha2256fsimple,47,10000.0,0,3,1,55.049093
sphincssha2256fsimple,48,10000.0,0,3,1,92.957955
sphincssha2256fsimple,49,10000.0,0,3,1,1066.669604
sphincssha2256fsimple,50,10000.0,0,3,1,55.628453
sphincssha2256fsimple,51,10000.0,0,3,1,56.452990
sphincssha2256fsimple,52,10000.0,0,3,1,54.739518
sphincssha2256fsimple,53,10000.0,0,3,1,55.043774
sphincssha2256fsimple,54,10000.0,0,3,1,54.842335
sphincssha2256fsimple,55,10000.0,0,3,1,54.696809
sphincssha2256fsimple,56,10000.0,0,3,1,57.851551
sphincssha2256fsimple,57,10000.0,0,3,1,56.191435
sphincssha2256fsimple,58,10000.0,0,3,1,54.426662
sphincssha2256fsimple,59,10000.0,0,3,1,54.456544
sphincssha2256fsimple,60,10000.0,0,3,1,56.650261
sphincssha2256fsimple,61,10000.0,0,3,1,55.637094
sphincssha2256fsimple,62,10000.0,0,3,1,55.492369
sphincssha2256fsimple,63,10000.0,0,3,1,57.936548
sphincssha2256fsimple,64,10000.0,0,3,1,58.922174
sphincssha2256fsimple,65,10000.0,0,3,1,1092.665460
sphincssha2256fsimple,66,10000.0,0,3,1,55.364978
sphincssha2256fsimple,67,10000.0,0,3,1,54.692745
sphincssha2256fsimple,68,10000.0,0,3,1,63.050178
sphincssha2256fsimple,69,10000.0,0,3,1,55.189927
sphincssha2256fsimple,70,10000.0,0,3,1,55.136151
sphincssha2256fsimple,71,10000.0,0,3,1,1072.759332
sphincssha2256fsimple,72,10000.0,0,3,1,60.556096
sphincssha2256fsimple,73,10000.0,0,3,1,54.529084
sphincssha2256fsimple,74,10000.0,0,3,1,54.975121
sphincssha2256fsimple,75,10000.0,0,3,1,1095.980712
sphincssha2256fsimple,76,10000.0,0,3,1,54.626009
sphincssha2256fsimple,77,10000.0,0,3,1,54.488020
sphincssha2256fsimple,78,10000.0,0,3,1,54.660683
sphincssha2256fsimple,79,10000.0,0,3,1,54.796371
sphincssha2256fsimple,80,10000.0,0,3,1,55.585151
sphincssha2256fsimple,81,10000.0,0,3,1,54.599120
sphincssha2256fsimple,82,10000.0,0,3,1,57.037710
sphincssha2256fsimple,83,10000.0,0,3,1,265.696280
sphincssha2256fsimple,84,10000.0,0,3,1,57.771606
sphincssha2256fsimple,85,10000.0,0,3,1,54.259297
sphincssha2256fsimple,86,10000.0,0,3,1,55.152339
sphincssha2256fsimple,87,10000.0,0,3,1,54.842926
sphincssha2256fsimple,88,10000.0,0,3,1,1069.493654
sphincssha2256fsimple,89,10000.0,0,3,1,63.103074
sphincssha2256fsimple,90,10000.0,0,3,1,54.922100
sphincssha2256fsimple,91,10000.0,0,3,1,54.614074
sphincssha2256fsimple,92,10000.0,0,3,1,57.499286
sphincssha2256fsimple,93,10000.0,0,3,1,54.829270
sphincssha2256fsimple,94,10000.0,0,3,1,54.518294
sphincssha2256fsimple,95,10000.0,0,3,1,55.494778
sphincssha2256fsimple,96,10000.0,0,3,1,54.767218
sphincssha2256fsimple,97,10000.0,0,3,1,54.349731
sphincssha2256fsimple,98,10000.0,0,3,1,1063.778616
sphincssha2256fsimple,99,10000.0,0,3,1,93.835693
sphincssha2256fsimple,100,10000.0,0,3,1,54.551850
sphincssha2256fsimple,1,10000.0,0,4,1,285.682298
sphincssha2256fsimple,2,10000.0,0,4,1,54.659705
sphincssha2256fsimple,3,10000.0,0,4,1,62.290733
sphincssha2256fsimple,4,10000.0,0,4,1,54.544279
sphincssha2256fsimple,5,10000.0,0,4,1,55.495942
sphincssha2256fsimple,6,10000.0,0,4,1,54.766150
sphincssha2256fsimple,7,10000.0,0,4,1,92.659083
sphincssha2256fsimple,8,10000.0,0,4,1,265.334961
sphincssha2256fsimple,9,10000.0,0,4,1,54.650463
sphincssha2256fsimple,10,10000.0,0,4,1,56.031003
sphincssha2256fsimple,11,10000.0,0,4,1,1085.330645
sphincssha2256fsimple,12,10000.0,0,4,1,286.888131
sphincssha2256fsimple,13,10000.0,0,4,1,56.611992
sphincssha2256fsimple,14,10000.0,0,4,1,54.362837
sphincssha2256fsimple,15,10000.0,0,4,1,55.188500
sphincssha2256fsimple,16,10000.0,0,4,1,268.420053
sphincssha2256fsimple,17,10000.0,0,4,1,1067.235220
sphincssha2256fsimple,18,10000.0,0,4,1,54.755174
sphincssha2256fsimple,19,10000.0,0,4,1,54.491567
sphincssha2256fsimple,20,10000.0,0,4,1,55.257022
sphincssha2256fsimple,21,10000.0,0,4,1,55.936025
sphincssha2256fsimple,22,10000.0,0,4,1,55.183620
sphincssha2256fsimple,23,10000.0,0,4,1,55.654836
sphincssha2256fsimple,24,10000.0,0,4,1,57.248700
sphincssha2256fsimple,25,10000.0,0,4,1,54.855728
sphincssha2256fsimple,26,10000.0,0,4,1,54.500295
sphincssha2256fsimple,27,10000.0,0,4,1,56.720269
sphincssha2256fsimple,28,10000.0,0,4,1,54.702768
sphincssha2256fsimple,29,10000.0,0,4,1,55.367240
sphincssha2256fsimple,30,10000.0,0,4,1,55.547238
sphincssha2256fsimple,31,10000.0,0,4,1,56.356887
sphincssha2256fsimple,32,10000.0,0,4,1,54.131919
sphincssha2256fsimple,33,10000.0,0,4,1,54.817679
sphincssha2256fsimple,34,10000.0,0,4,1,54.860918
sphincssha2256fsimple,35,10000.0,0,4,1,54.630281
sphincssha2256fsimple,36,10000.0,0,4,1,54.355933
sphincssha2256fsimple,37,10000.0,0,4,1,54.294911
sphincssha2256fsimple,38,10000.0,0,4,1,59.193965
sphincssha2256fsimple,39,10000.0,0,4,1,55.346765
sphincssha2256fsimple,40,10000.0,0,4,1,55.695340
sphincssha2256fsimple,41,10000.0,0,4,1,55.825397
sphincssha2256fsimple,42,10000.0,0,4,1,54.550556
sphincssha2256fsimple,43,10000.0,0,4,1,54.464323
sphincssha2256fsimple,44,10000.0,0,4,1,468.434724
sphincssha2256fsimple,45,10000.0,0,4,1,55.646983
